Category,Course Code,Course Name,Section,MeetingTimes,Dates,Instructor,Notes,Class Nbr,Specialization #1,Specialization #2,Specialization #3,Specialization #4,Specialization #5,Specialization #6,Specialization #7,Specialization #8,Days,Times,Credits
Finance,FINC-GB.3196,Mergers and Acquisitions (1.5),10,W 6:00 pm - 9:00 pm,09/23-10/28,"Amihud,Y",,21786,Banking,Corporate Finance,Finance,Law & Business,Quantitative Finance,,,,W,6:00 pm - 9:00 pm,1.5
Finance,FINC-GB.3198,Bankruptcy and Reorganization (1.5),01,TR 10:30 am - 11:50 am,09/03-10/15,"Altman,E",,21911,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Law & Business,Quantitative Finance,,,TR,10:30 am - 11:50 am,1.5
Finance,FINC-GB.3199,Case Studies in Bankruptcy & Reorganization (1.5),10,W 6:00 pm - 9:00 pm,11/04-12/16,"Holmes,M",,21787,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Law & Business,Quantitative Finance,,,W,6:00 pm - 9:00 pm,1.5
Finance,FINC-GB.3320,Managing Investment Funds (3),01,--Alternate Schedule--TR 12:00 pm - 1:20 pm,09/03-12/08,"Marciano,A","By-permission only. To apply, visit nyumpsif.com",21788,Banking,Finance,Financial Instruments & Markets,Quantitative Finance,,,,,ALTERNATE SCHEDULE,Schedule--TR 12:00 pm - 1:20 pm,3
Finance,FINC-GB.3324,"Digital Currency, Blockchains & the Future of the Financial Services Industry (3)",01,MW 10:30 am - 11:50 am,09/02-12/09,"Yermack,D/Hinkes,A",Cross-listed with the Law School,21797,Business Analytics,FinTech,Finance,Financial Instruments & Markets,Financial Systems & Analytics,Law & Business,Quantitative Finance,,MW,10:30 am - 11:50 am,3
Finance,FINC-GB.3331,Valuation (3),10,W 6:00 pm - 9:00 pm,09/23-12/16,"Schmeits,A",,21789,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Quantitative Finance,,,,W,6:00 pm - 9:00 pm,3
Finance,FINC-GB.3331,Valuation (3),S1,Sa 1:00 pm - 4:00 pm,09/26-12/19,"Levine,R",Saturdays,21790,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Quantitative Finance,,,,Sa,1:00 pm - 4:00 pm,3
Finance,FINC-GB.3333,Debt Instruments and Markets (3),10,T 6:00 pm - 9:00 pm,09/22-12/08,"Tuckman,B",,21792,Banking,Finance,Financial Instruments & Markets,Quantitative Finance,,,,,T,6:00 pm - 9:00 pm,3
Finance,FINC-GB.3353,Law and Management of Financial Services Businesses in a Changing Environment (3),10,M 6:00 pm - 9:15 pm,09/21-12/14,,"Meets at NYU Law School
Cross-listed with the Law School",21798,Banking,Corporate Finance,Finance,Law & Business,Quantitative Finance,,,,M,6:00 pm - 9:15 pm,3
Finance,FINC-GB.3357,Private Investing and Wealth Management (3),10,R 6:00 pm - 9:00 pm,09/24-12/17,"Walter,I/Zaharoff,A",,21918,Banking,Finance,Financial Instruments & Markets,Global Business,Quantitative Finance,,,,R,6:00 pm - 9:00 pm,3
Finance,FINC-GB.3365,Private Equity Finance (3),01,MW 3:00 pm - 4:20 pm,09/02-12/09,"Schwed,G",,21794,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Quantitative Finance,,,,MW,3:00 pm - 4:20 pm,3
Finance,FINC-GB.3365,Private Equity Finance (3),10,M 6:00 pm - 9:00 pm,09/21-12/14,"Wright,J",,21795,Banking,Corporate Finance,Finance,Financial Instruments & Markets,Quantitative Finance,,,,M,6:00 pm - 9:00 pm,3
Finance,FINC-GB.3373,New Venture Financing (3),10,R 6:00 pm - 9:00 pm,09/24-12/17,"D'Souza,I",,21853,Banking,Corporate Finance,Entrepreneurship and Innovation,Finance,Financial Instruments & Markets,Quantitative Finance,,,R,6:00 pm - 9:00 pm,3
Finance,FINC-GB.3399,Law & Business of Bankruptcy and Reorganization (3),01,,09/03-12/03,,Cross-listed with the Law School,21919,Corporate Finance,Finance,Law & Business,Quantitative Finance,,,,,N/A,,3
Global Trip,DBIN-GB.3110,DBi Costa Rica: Sustainable Business in Latin America (1.5),D1,MTWRF 9:00 am - 9:00 pm,01/03-01/08,"Instructor,L",,21883,Global Business,Sustainable Business and Innovation,,,,,,,MTWRF,9:00 am - 9:00 pm,1.5
Global Trip,DBIN-GB.3121,DBi Mexico (1.5),D1,MTWRF 9:00 am - 9:00 pm,01/10-01/16,"Instructor,L",,21886,Global Business,,,,,,,,MTWRF,9:00 am - 9:00 pm,1.5
Global Trip,DBIN-GB.3307,DBi China (Hong Kong) (3),D1,MTWRF 9:00 am - 9:00 pm,01/03-01/15,"Instructor,L",,21881,Global Business,,,,,,,,MTWRF,9:00 am - 9:00 pm,3
Global Trip,DBIN-GB.3313,DBi New Zealand (3),D1,MTWRF 9:00 am - 9:00 pm,01/10-01/22,"Instructor,L",,21927,Global Business,,,,,,,,MTWRF,9:00 am - 9:00 pm,3
Global Trip,DBIN-GB.3314,DBi Israel (3),D1,MTWRF 9:00 am - 9:00 pm,01/09-01/21,"Instructor,L",,21885,Entrepreneurship and Innovation,Global Business,,,,,,,MTWRF,9:00 am - 9:00 pm,3
Global Trip,DBIN-GB.3315,DBi Australia (Sydney) (3),D1,MTWRF 9:00 am - 9:00 pm,01/03-01/15,"Instructor,L",,21882,Global Business,,,,,,,,MTWRF,9:00 am - 9:00 pm,3
Global Trip,DBIN-GB.3318,DBi South Africa (Cape Town) (3),D1,,01/03-01/15,,,21884,Global Business,Sustainable Business and Innovation,,,,,,,N/A,,3
Inter-Area,INTA-GB.2306,Business Drivers of Industries (3),01,T 9:00 am - 11:50 am,09/08-12/01,"Gode,D",,21769,Accounting,Strategy,,,,,,,T,9:00 am - 11:50 am,3
Inter-Area,INTA-GB.2306,Business Drivers of Industries (3),02,T 1:30 pm - 4:20 pm,09/08-12/01,"Gode,D",,21770,Accounting,Strategy,,,,,,,T,1:30 pm - 4:20 pm,3
